feature_name,feature_group,description,formula,input_fields,input_dataset,window,adjustment_basis,unit,null_policy,as_of_policy,formula_version,config_source,enabled
confidence_score,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
evidence_count,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
evidence_summary,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
fund_flow_persistence_evidence,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
insufficient_evidence,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,true because frozen config has no confidence threshold/formula,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
limit_event_evidence,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
price_volume_divergence_evidence,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,share or source unit as named,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
turnover_change_evidence,suspected_behavior_evidence,Frozen Stage 6 suspected_behavior_evidence feature,configured Stage 6 suspected_behavior_evidence feature,registered in formula,Stage 6 neutral feature tables,,mixed neutral evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
close_qfq,trend_daily,Frozen Stage 6 trend_daily feature,configured Stage 6 trend_daily feature,registered in formula,v_stock_daily_qfq,,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_10,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 10)",registered in formula,v_stock_daily_qfq,10.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_13,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 13)",registered in formula,v_stock_daily_qfq,13.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_20,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 20)",registered in formula,v_stock_daily_qfq,20.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_21,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 21)",registered in formula,v_stock_daily_qfq,21.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_3,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 3)",registered in formula,v_stock_daily_qfq,3.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_5,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 5)",registered in formula,v_stock_daily_qfq,5.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
ma_7,trend_daily,Frozen Stage 6 trend_daily feature,"rolling mean(qfq close, 7)",registered in formula,v_stock_daily_qfq,7.0,qfq,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
